parent_id,endpoint_id,id,title
,planning,,綜合企畫組
planning,policy,planning/policy,能源政策與規劃科
planning,info,planning/info,能源資訊與統計科
planning,service,planning/service,綜合能源業務科
,oil_gas,,石油及瓦斯組
oil_gas,service,oil_gas/service,石油業務科
oil_gas,facility,oil_gas/facility,石油設施科
oil_gas,gas,oil_gas/gas,瓦斯管理科
,electricity,,電力組
electricity,public,electricity/public,公用電業科
electricity,private,electricity/private,民營發電科
,tech,,能源技術組
tech,renewable,tech/renewable,再生能源科
tech,saving,tech/saving,節約能源科
,law,,法務室
,secretary,,秘書室
secretary,doc,secretary/doc,文書與公關科
secretary,affair,secretary/affair,事務科
,accounting,,主計室
,hr,,人事室
,ethics,,政風室
