parent_id,endpoint_id,id,title,,note
,coal,,煤及煤產品,,
coal,bituminous_coking,coal/bituminous_coking,煙煤-煉焦煤,,韋廷更新；待double check
coal,bituminous_steam,coal/bituminous_steam,煙煤-燃料煤,,
coal,anthracite,coal/anthracite,無煙煤,,
coal,sub_bituminous,coal/sub_bituminous,亞煙煤,,
coal,lignite,coal/lignite,褐煤,,
coal,peat,coal/peat,泥煤,,
coal,coke,coal/coke,焦炭,,
coal,briquettes,coal/briquettes,煤球,,
coal,coke_oven_gas,coal/coke_oven_gas,焦爐氣,,
coal,blast_furnace_gas,coal/blast_furnace_gas,高爐氣,,
coal,bof_gas,coal/bof_gas,轉爐氣,,
,oil,,原油及石油產品,,
oil,crude,oil/crude,原油,,
oil,feeding,oil/feeding,煉油廠進料,,
oil,additives,oil/additives,添加劑,,
oil,refinery_gas,oil/refinery_gas,煉油氣,,
oil,lpg,oil/lpg,液化石油氣,,
oil,natural_gasoline,oil/natural_gasoline,天然汽油,,
oil,naphtha,oil/naphtha,石油腦,,
oil,motor_gasoline,oil/motor_gasoline,車用汽油,,
vehicle,unleaded_gasoline,vehicle/unleaded_gasoline,無鉛汽油,,
oil,avfuel,oil/avfuel,航空汽油,,
oil,avfuel_gasoline,oil/avfuel_gasoline,航空燃油-汽油型,,
oil,avfuel_kerosene,oil/avfuel_kerosene,航空燃油-煤油型,,
oil,kerosene,oil/kerosene,煤油,,
oil,diesel,oil/diesel,柴油,,
oil,fuel,oil/fuel,燃料油,,
oil,thinner,oil/thinner,白精油,,
oil,lubricant,oil/lubricant,潤滑油,,
oil,asphalt,oil/asphalt,柏油,,
oil,solvent,oil/solvent,溶劑油,,
oil,paraffin,oil/paraffin,石蠟,,
oil,coke,oil/coke,石油焦,,
oil,else,oil/else,其他石油產品,,
,gas,,天然氣,,
gas,indigenous,gas/indigenous,自產天然氣,,
gas,liquid,gas/liquid,液化天然氣,,
liquid,lng,liquid/lng,LNG,,
,bio,,生質能,,
bio,solid,bio/solid,固態生質能,,
bio,liquid,bio/liquid,液態生質能,,
bio,gas,bio/gas,氣態生質能,,
,waste,,廢棄物,,
,electricity,,電力,,
electricity,nuclear,electricity/nuclear,核能,,
electricity,water,electricity/water,水力,,
electricity,ground,electricity/ground,地熱,,
electricity,sun,electricity/sun,太陽光電,,
electricity,wind,electricity/wind,風力,,
