page,parent,category,endpoint,layout,content,tab_filter,text_filter,dropdown_filter_1,dropdown_filter_2,dropdown_filter_3,dropdown_sorter
首長介紹,,about,head,menu_content,,,,,,,
沿革,,about,history,menu_content,,,,,,,
任務職掌,,about,mission,menu_content,,,,,,,
組織架構,,about,organization,menu_content,,,,,,,
施政報告,,about,report,,,,,,,,
年度預決算書,施政報告,,budget_and_final,,,,,,,,
會計報告,施政報告,,accounting,,,,,,,,
施政計畫,施政報告,,plan,,,,,,,,
業務報告,施政報告,,business,,,,,,,,
研究報告,施政報告,,research,,,,,,,,
出國報告,施政報告,,abroad,,,,,,,,
施政文件,,about,docs,,,,,,,,
公共工程委員會招標相關文件及表格,施政文件,,pcc,,,,,,,,
支付或接受之補助,施政文件,,subsidy,,,,,,,,
中央政府前瞻基礎建設計畫第1期特別預算,支付或接受之補助,,,,,,,,,,
中央政府莫拉克颱風災後重建特別預算,支付或接受之補助,,,,,,,,,,
經濟部能源局,支付或接受之補助,,moeaboe,,,,,,,,
石油基金,支付或接受之補助,,,,,,,,,,
能源研究發展基金,支付或接受之補助,,,,,,,,,,
再生能源發展基金,支付或接受之補助,,,,,,,,,,
各基金出國計畫執行情形,施政文件,,,,,,,,,,
行政指導文書,施政文件,,,,,,,,,,
內部控制聲明書,施政文件,,,,,,,,,,
個資檔案資訊,施政文件,,,,,,,,,,
政策宣導明細,施政文件,,,,,,,,,,
來去能源局,,about,location,menu_content,,,,,,,
能源局標誌,,about,vi,menu_content,,,,,,,
公告,,news,announcement,,,,,,,,
最新法規公布,公告,,law,,,,,,,,
行政公告,公告,,admin,,,,,,,,
最新開放資料集,公告,,data,,,,,,,,
文件及報告,公告,,report,,,,,,,,
新聞,,news,news,,,,,,,,
焦點新聞,新聞,,hot,,,,,,,,
真相說明,新聞,,fact_check,,,,,,,,
能源報導,新聞,,story,,,,,,,,
熱門懶人包,新聞,,bun,,,,,,,,
熱門能源資訊圖表,新聞,,infographic,,,,,,,,
活動,,news,activity,,,,,,,,
教育訓練,活動,,training,,,,,,,,
推廣活動,活動,,promotion,,,,,,,,
來函照登,活動,,letter,,,,,,,,
招商,活動,,recruitment,,,,,,,,
公民參與,,news,civic_participation,,,,,,,,
眾開講,公民參與,,join,,,,,,,,
公聽會,公民參與,,public_hearing,,,,,,,,
說明會,公民參與,,orientation,,,,,,,,
聽證會,公民參與,,hearing,,,,,,,,
委員會,公民參與,,committee,,,,,,,,
審定會,公民參與,,validation,,,,,,,,
其他會議,公民參與,,other,,,,,,,,
徵才,,news,hiring,,,,,,,,
重大政策,,policy,plan,,,,,,,,
總體能源政策,重大政策,,energy,,,,,,,,
石油與天然氣,重大政策,,oil_gas,,,,,,,,
電力,重大政策,,electricity,,,,,,,,
再生能源,重大政策,,renewable,,,,,,,,
節約能源,重大政策,,saving,,,,,,,,
地方能源治理,重大政策,,government,,,,,,,,
國際事務,重大政策,,international,,,,,,,,
本局主管法規,,policy,law,,,,,,,,
法律,本局主管法規,,law,,,,,,,,
法規命令,本局主管法規,,order,,,,,,,,
行政規則,本局主管法規,,rule,,,,,,,,
行政函釋,本局主管法規,,explaination,,,,,,,,
草案預告,本局主管法規,,trail,,,,,,,,
企業,,service,corporation,,,石油及天然氣;電力;再生能源;節約能源;總體能源,,,,,
申辦業務,企業,,apply,,,,,,,,
申報資料,企業,,report,,,,,,,,
輔導與技術服務,企業,,counsel,,,,,,,,
招商資訊,企業,,recruitment,,,,,,,,
申請補助,企業,,subsidy,,,,,,,,
申請獎勵,企業,,reward,,,,,,,,
意見信箱,企業,,feedback,,,,,,,,
地方政府,,service,gov,,,石油及天然氣;電力;再生能源;節約能源;總體能源,,,,,
法規資訊,地方政府,,law,,,,,,,,
輔導與技術服務,地方政府,,counsel,,,,,,,,
申請補助,地方政府,,subsidy,,,,,,,,
申請獎勵,地方政府,,reward,,,,,,,,
意見信箱,地方政府,,feedback,,,,,,,,
學校,,service,school,,,石油及天然氣;電力;再生能源;節約能源;總體能源,,,,,
申辦業務,學校,,apply,,,,,,,,
申報資料,學校,,report,,,,,,,,
輔導與技術服務,學校,,counsel,,,,,,,,
學界能源科技專案,學校,,project,,,,,,,,
申請補助,學校,,subsidy,,,,,,,,
申請獎勵,學校,,reward,,,,,,,,
意見信箱,學校,,feedback,,,,,,,,
專業技術人員,,service,specialist,,,石油及天然氣;電力;再生能源;節約能源;總體能源,,,,,
申辦業務,專業技術人員,,apply,,,,,,,,
申報資料,專業技術人員,,report,,,,,,,,
輔導與技術服務,專業技術人員,,counsel,,,,,,,,
教育訓練,專業技術人員,,training,,,,,,,,
意見信箱,專業技術人員,,feedback,,,,,,,,
民眾,,service,citizen,,,石油及天然氣;電力;再生能源;節約能源;總體能源,,,,,
申辦業務,民眾,,apply,,,,,,,,
申請獎勵,民眾,,subsidy,,,,,,,,
輔導與技術服務,民眾,,counsel,,,,,,,,
意見信箱,民眾,,feedback,,,,,,,,
統計資料,,info,statistic,,,,,,,,
能源統計手冊,統計資料,,manual,,,,,,,,
能源季報,統計資料,,seasonal,,,,,,,,
能源月報,統計資料,,monthly,,,,,,,,
能源統計資料查詢系統,統計資料,,query,,,,,,,,
熱門能源資訊圖表,統計資料,,infographic,,,,,,,,
台電資訊揭露(超連結),統計資料,,taipower,,,,,,,,
縣市能源資訊,統計資料,,county,,,,,,,,
宣導推廣,,info,promotion,,,,,,,,
常見QA,宣導推廣,,faq,,,,,,,,
能源知識,,info,knowledge,,,,,,,,
雙語詞彙-能源名詞,能源知識,,term,,,,,,,,
總體能源政策,能源知識,,energy,,,,,,,,
石油與天然氣,能源知識,,oil_gas,,,,,,,,
電力,能源知識,,electricity,,,,,,,,
再生能源,能源知識,,renewable,,,,,,,,
節約能源,能源知識,,saving,,,,,,,,
溫室氣體,能源知識,,co2,,,,,,,,
能源BLOG,,info,blog,,,,,,,,
能源報導,能源BLOG,,story,,,,,,,,
能源資訊圖表,能源BLOG,,infographic,,,,,,,,
能源懶人包,能源BLOG,,bun,,,,,,,,
榮譽榜,,info,award,,,,,,,,
106年度國民中小學推動能源教育標竿學校選拔須知,榮譽榜,,,,,,,,,,
開啟106年度國民中小學推動能源教育標竿學校選拔須知.odt檔開啟106年度國民中小學推動能源教育標竿學校選拔須知.pdf檔開啟106年度國民中小學推動能源教育標竿學校選拔須知.doc檔,榮譽榜,,,,,,,,,,
107年經濟部節能標竿獎表揚活動選拔須知,榮譽榜,,,,,,,,,,
「家用桶裝瓦斯差價補助」辦理績優獎及辛勤獎,榮譽榜,,,,,,,,,,
推動能源教育績優獎,榮譽榜,,,,,,,,,,
優良太陽光電系統-光鐸獎,榮譽榜,,,,,,,,,,
金能獎-優良太陽光電產品,榮譽榜,,,,,,,,,,
web 2.0影音社群,,info,sns,,,,,,,,
熱門影音,web 2.0影音社群,,hot,,,,,,,,
youtube經濟部、能源局、其他計畫,web 2.0影音社群,,youtube,,,,,,,,
fb經濟部、能源局、其他計畫,web 2.0影音社群,,facebook,,,,,,,,
flicker,web 2.0影音社群,,filcker,,,,,,,,
twitter,web 2.0影音社群,,twitter,,,,,,,,
pinterest,web 2.0影音社群,,pinterest,,,,,,,,
i-voting,web 2.0影音社群,,ivoting,,,,,,,,
line經濟部,web 2.0影音社群,,line,,,,,,,,
其他網站平台,web 2.0影音社群,,other,,,,,,,,
性別主流化專區,,info,gender,,,,,,,,
緊急應變聯絡中心,,info,emergency,,,,,,,,
