no,category_id,parent_id,endpoint_id,id,title,icon,layout,tab_filter_id,text_filter_id,dropdown_filter_ids,dropdown_sorter_ids,history
1,about,,head,,首長介紹,,,,,,,
2,about,,history,,沿革,,,,,,,
3,about,,mission,,任務職掌,,,,,,,
4,about,,organization,,組織架構,,,,,,,
5,about,,gov_info,,政府資訊公開,,,,,,,
6,about,gov_info,budget_and_final,gov_info/budget_and_final,年度預決算書,dollar sign,,,,,,
7,about,gov_info,accounting,gov_info/accounting,會計報告,dollar sign,,,,,,
8,about,gov_info,plan,gov_info/plan,施政計畫,,,,,,,
9,about,gov_info,business,gov_info/business,業務報告,,,,,,,
10,about,gov_info,research,gov_info/research,研究報告,,,,,,,
11,about,gov_info,abroad,gov_info/abroad,出國報告,,,,,,,
13,about,gov_info,pcc,gov_info/pcc,公共工程委員會招標相關文件及表格,,,,,,,
14,about,gov_info,subsidy,gov_info/subsidy,支付或接受之補助,dollar sign,,,,,,
15,about,gov_info/subsidy,中央政府前瞻基礎建設計畫第1期特別預算,gov_info/subsidy/中央政府前瞻基礎建設計畫第1期特別預算,中央政府前瞻基礎建設計畫第1期特別預算,dollar sign,,,,,,
16,about,gov_info/subsidy,中央政府莫拉克颱風災後重建特別預算,gov_info/subsidy/中央政府莫拉克颱風災後重建特別預算,中央政府莫拉克颱風災後重建特別預算,dollar sign,,,,,,
17,about,gov_info/subsidy,moeaboe,gov_info/subsidy/moeaboe,經濟部能源局,dollar sign,,,,,,
18,about,gov_info/subsidy,石油基金,gov_info/subsidy/石油基金,石油基金,dollar sign,,,,,,
19,about,gov_info/subsidy,能源研究發展基金,gov_info/subsidy/能源研究發展基金,能源研究發展基金,dollar sign,,,,,,
20,about,gov_info/subsidy,再生能源發展基金,gov_info/subsidy/再生能源發展基金,再生能源發展基金,dollar sign,,,,,,
21,about,gov_info,各基金出國計畫執行情形,gov_info/各基金出國計畫執行情形,各基金出國計畫執行情形,,,,,,,
22,about,gov_info,行政指導文書,gov_info/行政指導文書,行政指導文書,,,,,,,
23,about,gov_info,內部控制聲明書,gov_info/內部控制聲明書,內部控制聲明書,,,,,,,
24,about,gov_info,個資檔案資訊,gov_info/個資檔案資訊,個資檔案資訊,,,,,,,
25,about,gov_info,政策宣導明細,gov_info/政策宣導明細,政策宣導明細,,,,,,,
26,about,,location,,來去能源局,,,,,,,
27,about,,vi,,能源局標誌,,,,,,,
28,news,,announcement,,公告,bullhorn,,,,,,
29,news,announcement,law,announcement/law,最新法規公布,bullhorn,,,,,,
30,news,announcement,admin,announcement/admin,行政公告,bullhorn,,,,,,
31,news,announcement,data,announcement/data,最新開放資料集,bullhorn,,,,,,
32,news,announcement,report,announcement/report,文件及報告,bullhorn,,,,,,
33,news,,news,,新聞,newspaper,,,,,,
34,news,news,hot,news/hot,焦點新聞,newspaper,,,,,,
35,news,news,fact_check,news/fact_check,真相說明,lightbulb,,,,,,
36,news,news,story,news/story,能源報導,newspaper,,,,,,
37,news,news,bun,news/bun,熱門懶人包,newspaper,,,,,,
38,news,news,infographic,news/infographic,熱門能源資訊圖表,chart area,,,,,,
39,news,,activity,,活動,newspaper,,,,,,
40,news,activity,training,activity/training,教育訓練,newspaper,,,,,,
41,news,activity,promotion,activity/promotion,推廣活動,newspaper,,,,,,
42,news,activity,letter,activity/letter,來函照登,newspaper,,,,,,
43,news,activity,recruitment,activity/recruitment,招商,newspaper,,,,,,
44,news,,civic_participation,,公民參與,newspaper,,,,,,
45,news,civic_participation,join,civic_participation/join,眾開講,newspaper,,,,,,
46,news,civic_participation,public_hearing,civic_participation/public_hearing,公聽會,newspaper,,,,,,
47,news,civic_participation,orientation,civic_participation/orientation,說明會,newspaper,,,,,,
48,news,civic_participation,hearing,civic_participation/hearing,聽證會,newspaper,,,,,,
49,news,civic_participation,committee,civic_participation/committee,委員會,newspaper,,,,,,
50,news,civic_participation,validation,civic_participation/validation,審定會,newspaper,,,,,,
51,news,civic_participation,other,civic_participation/other,其他公開性會議,newspaper,,,,,,
52,news,,hiring,,徵才,newspaper,,,,,,
53,policy,,plan,,重大政策,,policy,,,,,
54,policy,plan,energy,plan/energy,總體能源政策,,policy,,,,,
55,policy,plan,oil_gas,plan/oil_gas,石油與天然氣,,policy,,,,,
56,policy,plan,electricity,plan/electricity,電力,,policy,,,,,
57,policy,plan,renewable,plan/renewable,再生能源,,policy,,,,,
58,policy,plan,saving,plan/saving,節約能源,,policy,,,,,
